"ID","YearStart","YearEnd","Description","LocationAbbr","LocationDesc","DataSource","Class","Topic","Question","Response","Data_Value_Unit","DataValueTypeId","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","GeoLocation_Lat","GeoLocation_Long","ClassId","TopicId","QuestionId","ResponseId","StratficationCategory1","StratificationCategoryId1","Stratification1","StratificationId1","StratificationCategory2","StratificationCategoryId2","Stratification2","StratificationId2","StratificationCategory3","StratificationCategoryId3","Stratification3","StratificationId3","LocationDisplayOrder","FootnoteSymbol","FootnoteText","URL","FootnoteHeading"
"56426","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","16.5","","","15.7","17.4","23,516","","","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","0","","","",""
"56427","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.2","","","27.4","29.0","41,784","","","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","0","","","",""
"56428","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.0","","","32.2","33.9","46,647","","","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","0","","","",""
"56429","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.9","","","35.1","36.6","62,722","","","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","0","","","",""
"56430","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","35.4","","","34.6","36.1","88,110","","","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","0","","","",""
"56431","2017","2017","2017","US","National","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","28.5","","","28.0","29.1","145,669","","","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","0","","","",""
"56858","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","20.7","","","16.0","26.2","315","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","1","","","",""
"56859","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.3","","","31.8","40.9","615","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","1","","","",""
"56860","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","42.2","","","37.7","46.7","719","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","1","","","",""
"56861","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","47.1","","","43.2","51.1","977","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","1","","","",""
"56862","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","41.2","","","38.0","44.6","1,329","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","1","","","",""
"56863","2017","2017","2017","AL","Alabama","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","29.0","","","26.8","31.4","2,290","32.84057112200048","-86.63186076199969","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","1","","","",""
"56885","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","23.0","","","15.4","32.7","157","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","2","","","",""
"56886","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","31.4","","","24.9","38.7","321","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","2","","","",""
"56887","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","41.5","","","33.5","50.0","378","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","2","","","",""
"56888","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","37.7","","","31.5","44.3","483","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","2","","","",""
"56889","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","36.2","","","30.9","41.7","794","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","2","","","",""
"56890","2017","2017","2017","AK","Alaska","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.8","","","30.0","40.0","898","64.84507995700051","-147.72205903599973","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","2","","","",""
"56912","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","18.2","","","15.3","21.3","775","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","4","","","",""
"56913","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","30.5","","","27.7","33.5","1,254","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","4","","","",""
"56914","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.4","","","31.7","37.3","1,602","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","4","","","",""
"56915","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","34.4","","","32.1","36.9","2,093","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","45 - 54","AGEYR4554","","","","","","","","","4","","","",""
"56916","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","33.5","","","31.4","35.7","2,787","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","55 - 64","AGEYR5564","","","","","","","","","4","","","",""
"56917","2017","2017","2017","AZ","Arizona","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","25.5","","","24.1","26.9","5,653","34.865970280000454","-111.76381127699972","OWS","OWS1","Q036","","Age (years)","AGEYR","65 or older","AGEYR65PLUS","","","","","","","","","4","","","",""
"57307","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","13.3","","","8.0","21.4","138","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","18 - 24","AGEYR1824","","","","","","","","","5","","","",""
"57308","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","38.8","","","30.8","47.6","214","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","25 - 34","AGEYR2534","","","","","","","","","5","","","",""
"57309","2017","2017","2017","AR","Arkansas","BRFSS","Obesity / Weight Status","Obesity / Weight Status","Percent of adults aged 18 years and older who have obesity †","","","VALUE","Value","41.8","","","35.2","48.7","367","34.74865012400045","-92.27449074299966","OWS","OWS1","Q036","","Age (years)","AGEYR","35 - 44","AGEYR3544","","","","","","","","","5","","","",""
